"district"	"ENROLL_TOTAL"	"ENROLL_MEAN"	"GR_Kto5_TOTAL"	"GR_Kto5_MEAN"	"GR_6to8_TOTAL"	"GR_6to8_MEAN"	"GR_9to12_TOTAL"	"GR_9to12_MEAN"	"YEAR"
"197"	63107	1410	32.7906976744186	638	14.8372093023256	324	7.53488372093023	436	10.1395348837209	1998
"198"	63115	3446	101.352941176471	0	0	0	0	3446	101.352941176471	1998
"199"	63123	6272	62.0990099009901	4223	41.8118811881188	1956	19.3663366336634	0	0	1998
"200"	63131	648	129.6	439	87.8	209	41.8	0	0	1998
"201"	63149	1962	51.6315789473684	896	23.5789473684211	440	11.5789473684211	607	15.9736842105263	1998
"202"	63164	2372	55.1627906976744	1142	26.5581395348837	564	13.1162790697674	666	15.4883720930233	1998
"203"	63172	108	21.6	65	13	43	8.6	0	0	1998
"204"	63180	536	59.5555555555556	338	37.5555555555556	191	21.2222222222222	0	0	1998
"205"	63198	500	71.4285714285714	321	45.8571428571429	171	24.4285714285714	0	0	1998
"206"	63206	88	22	61	15.25	27	6.75	0	0	1998
"207"	63214	914	28.5625	452	14.125	210	6.5625	252	7.875	1998
"208"	63222	522	40.1538461538462	369	28.3846153846154	153	11.7692307692308	0	0	1998
"209"	63230	440	73.3333333333333	298	49.6666666666667	142	23.6666666666667	0	0	1998
"210"	63248	268	14.8888888888889	126	7	71	3.94444444444444	71	3.94444444444444	1998
"211"	63255	1510	45.7575757575758	958	29.030303030303	543	16.4545454545455	0	0	1998
"212"	63263	816	58.2857142857143	0	0	0	0	816	58.2857142857143	1998
"213"	63271	64	5.33333333333333	34	2.83333333333333	19	1.58333333333333	11	0.916666666666667	1998
"214"	63289	457	24.0526315789474	204	10.7368421052632	94	4.94736842105263	159	8.36842105263158	1998
"215"	63297	138	6	54	2.34782608695652	32	1.39130434782609	52	2.26086956521739	1998
"216"	63305	112	16	72	10.2857142857143	40	5.71428571428571	0	0	1998
"217"	63313	2601	96.3333333333333	1767	65.4444444444444	786	29.1111111111111	0	0	1998
"218"	63321	27176	57.8212765957447	18596	39.5659574468085	7790	16.5744680851064	0	0	1998
"219"	63339	1639	46.8285714285714	1102	31.4857142857143	494	14.1142857142857	0	0	1998
"220"	63347	51	8.5	40	6.66666666666667	11	1.83333333333333	0	0	1998
"221"	63354	9	2.25	7	1.75	2	0.5	0	0	1998
"222"	63362	12380	52.6808510638298	8124	34.5702127659575	4043	17.2042553191489	0	0	1998
"223"	63370	421	60.1428571428571	282	40.2857142857143	129	18.4285714285714	0	0	1998
"224"	63388	102	7.84615384615385	72	5.53846153846154	30	2.30769230769231	0	0	1998
"225"	63404	6219	71.4827586206897	4287	49.2758620689655	1837	21.1149425287356	0	0	1998
"226"	63412	3112	115.259259259259	0	0	0	0	3079	114.037037037037	1998
"227"	63420	237	39.5	166	27.6666666666667	71	11.8333333333333	0	0	1998
"228"	63438	814	42.8421052631579	570	30	244	12.8421052631579	0	0	1998
"229"	63446	70	14	54	10.8	16	3.2	0	0	1998
"230"	63461	1217	50.7083333333333	814	33.9166666666667	403	16.7916666666667	0	0	1998
